,year,url,batter,batter_hand,pitcher,pitcher_hand,event,type,x,y,start_speed,end_speed,sz_top,sz_bot,pfx_x,pfx_z,px,py,pz,x0,y0,z0,vx0,vy0,vz0,ax,ay,az,break_y,break_angle,break_length,pitch_type,spin_dir,spin_rate
43168,2013,http://gd2.mlb.com/components/game/mlb/year_2013/month_09/day_24/gid_2013_09_24_pitmlb_chnmlb_1/inning/inning_all.xml,407781,R,453284,R,Groundout,X,127.9,137.29,90.9,83.4,3.39,1.52,-4.68,8.99,-0.83,1.4,2.86,-1.05,50,6.29,2.17,-133.14,-5.93,-8.36,29.94,-16.05,23.8,24.4,4.3,Four seam fast ball,207.405,1979.097
43172,2013,http://gd2.mlb.com/components/game/mlb/year_2013/month_09/day_24/gid_2013_09_24_pitmlb_chnmlb_1/inning/inning_all.xml,407781,R,501227,R,Flyout,X,103.86,148.51,92.3,85.7,3.39,1.52,-6.2,6.77,-0.16,1.4,2.45,-2.33,50,5.9,7.96,-135.05,-5.58,-11.56,26.97,-19.49,23.8,26,5,Two-seam fastball,222.345,1843.585
43297,2013,http://gd2.mlb.com/components/game/mlb/year_2013/month_09/day_27/gid_2013_09_27_pitmlb_cinmlb_1/inning/inning_all.xml,407781,R,456701,R,Flyout,X,102.15,143.33,89.3,83.1,3.38,1.52,0.21,2.81,-0.088,1.4,2.389,-2.289,50,6.123,5.626,-130.815,-4.42,0.374,25.922,-27.192,23.9,-2.8,6.5,Slider,175.709,554.075
43298,2013,http://gd2.mlb.com/components/game/mlb/year_2013/month_09/day_27/gid_2013_09_27_pitmlb_cinmlb_1/inning/inning_all.xml,407781,R,456701,R,Single,X,103.86,160.6,87.9,82.4,3.38,1.52,-1.69,-0.12,-0.138,1.4,1.618,-2.174,50,5.988,5.764,-128.628,-4.839,-2.871,23.176,-32.298,23.9,3.4,7.9,Slider,272.473,324.119
43301,2013,http://gd2.mlb.com/components/game/mlb/year_2013/month_09/day_27/gid_2013_09_27_pitmlb_cinmlb_1/inning/inning_all.xml,407781,R,456701,R,Double,X,115.88,146.79,93,86.5,3.38,1.52,-2.47,8.59,-0.514,1.4,2.301,-2.058,50,5.964,5.037,-136.127,-6.959,-4.692,26.923,-15.814,23.9,12.3,3.7,Four seam fast ball,196.001,1813.867
43306,2013,http://gd2.mlb.com/components/game/mlb/year_2013/month_09/day_27/gid_2013_09_27_pitmlb_cinmlb_1/inning/inning_all.xml,407781,R,446185,R,Single,X,64.38,165.78,96.1,89,3.38,1.52,-3.11,9.41,1.106,1.4,1.635,-0.586,50,6.451,5.825,-140.442,-10.998,-6.246,30.443,-13.215,23.8,18,3.3,Four seam fast ball,198.233,2062.033
43331,2013,http://gd2.mlb.com/components/game/mlb/year_2013/month_09/day_28/gid_2013_09_28_pitmlb_cinmlb_1/inning/inning_all.xml,407781,R,276520,R,Single,X,98.71,173.55,86.7,80.6,3.38,1.52,-6.85,6.99,-0.003,1.4,1.225,-1.448,50,6.408,5.856,-126.744,-8.878,-11.201,24.56,-20.672,23.8,24.5,6.1,Sinker,224.239,1837.728
43335,2013,http://gd2.mlb.com/components/game/mlb/year_2013/month_09/day_28/gid_2013_09_28_pitmlb_cinmlb_1/inning/inning_all.xml,407781,R,276520,R,Forceout,X,97,149.38,87.9,82.8,3.38,1.52,-8.55,6.37,0.076,1.4,2.277,-1.317,50,6.381,6.431,-128.605,-6.394,-14.671,20.652,-21.178,23.9,31.7,6.1,Sinker,233.147,2068.288
43340,2013,http://gd2.mlb.com/components/game/mlb/year_2013/month_09/day_28/gid_2013_09_28_pitmlb_cinmlb_1/inning/inning_all.xml,407781,R,276520,R,Home Run,X,90.99,145.06,88.2,82,3.38,1.52,-6.69,6.52,0.134,1.4,2.335,-1.164,50,6.457,5.542,-129.094,-6.429,-11.38,24.981,-21.016,23.8,25,5.8,Sinker,225.563,1791.091
43343,2013,http://gd2.mlb.com/components/game/mlb/year_2013/month_09/day_28/gid_2013_09_28_pitmlb_cinmlb_1/inning/inning_all.xml,407781,R,543331,R,Single,X,60.09,143.33,74.4,69.8,3.38,1.52,8.58,-4.19,1.076,1.4,2.472,-1.341,50,6.29,2.809,-109.068,0.371,10.395,18.155,-37.172,23.9,-16.1,12.9,Curve ball,64.321,1534.227
43374,2013,http://gd2.mlb.com/components/game/mlb/year_2013/month_10/day_01/gid_2013_10_01_cinmlb_pitmlb_1/inning/inning_all.xml,407781,R,456501,R,Home Run,X,97,135.56,82.5,76.4,3.37,1.51,-6.73,-0.84,-0.023,1.4,2.823,-2.185,50,5.462,7.25,-120.82,0.682,-9.976,23.027,-33.347,23.8,14.6,9.4,Change-up,276.706,1206.15
